(144,*,-40)
(144,/,-40)
(144,+,-40)
(144,-,-40)
(145,),196)
(146,+,85)
(146,-,86)
(146,],197)
(147,;,-38)
(147,*,-38)
(147,/,-38)
(147,+,-38)
(147,-,-38)
(147,[,93)
(148,;,-36)
(148,*,-36)
(148,/,-36)
(148,+,-36)
(148,-,-36)
(149,;,-37)
(149,*,-37)
(149,/,-37)
(149,+,-37)
(149,-,-37)
(150,;,-32)
(150,+,-32)
(150,-,-32)
(150,*,94)
(150,/,95)
(151,;,-33)
(151,+,-33)
(151,-,-33)
(151,*,94)
(151,/,95)
(152,),198)
(152,+,125)
(152,-,126)
(153,p,199)
(154,(,39)
(154,d,40)
(154,n,41)
(154,G,42)
(154,R,43)
(154,X,200)
(155,(,99)
(155,d,201)
(155,n,101)
(155,R,202)
(156,(,99)
(156,d,201)
(156,n,101)
(156,R,203)
(157,(,99)
(157,d,201)
(157,n,101)
(157,G,204)
(157,R,103)
(158,(,99)
(158,d,201)
(158,n,101)
(158,G,205)
(158,R,103)
(159,=,206)
(160,;,-49)
(161,),207)
(161,+,125)
(161,-,126)
(162,p,208)
(163,(,39)
(163,d,40)
(163,n,41)
(163,G,42)
(163,R,43)
(163,X,209)
(164,(,107)
(164,d,210)
(164,n,109)
(164,R,211)
(165,(,107)
(165,d,210)
(165,n,109)
(165,R,212)
(166,{,-28)
(166,a,-28)
(166,d,-28)
(166,e,-28)
(166,f,-28)
(166,i,-28)
(166,r,-28)
(166,t,-28)
